Station,Services,Div,Line,Opened,Borough,Neighborhood,Ridership (2019),Rank,
Broad Street†,J,BMT,Nassau Street Line,"May 29, 1931",Manhattan,Financial District,"2,172,223",216,
Broadway,N W,BMT,Astoria Line,"February 1, 1917",Queens,Astoria,"3,038,655",168,
Broadway,G,IND,Crosstown Line,"July 1, 1937",Brooklyn,Williamsburg,"1,506,905",296,
Broadway Junction,L A C J,BMT,Carnarsie Line,"July 14, 1928",Brooklyn,East New York,"2,759,349",177,
,A C,IND,Fulton Street Line,"December 30, 1946",,,,,
,J,BMT,Jamaica Line,"August 5, 1919",,,,,
Broadway–Lafayette Street/Bleecker Street,B D F M 6,IND,Sixth Avenue Line,"January 1, 1936",Manhattan,Greenwich Village,"12,455,155",22,
,6,IRT,Lexington Avenue Line,"October 27, 1904",,,,,
Bronx Park East,2,IRT,White Plains Road Line,"March 3, 1917",The Bronx,Van Nest,"769,303",385,
Brook Avenue,6,IRT,Pelham Line,"January 7, 1919",The Bronx,Mott Haven,"1,823,468",254,
Brooklyn Bridge–City Hall/Chambers Street†,4 5 6 J,IRT,Lexington Avenue Line,"October 27, 1904",Manhattan,Civic Center,"9,065,146",32,
,,BMT,Nassau Street Line,"August 4, 1913",,,,,
Buhre Avenue,6,IRT,Pelham Line,"December 20, 1920",The Bronx,Pelham Bay,"1,146,032",338,
Burke Avenue,2,IRT,White Plains Road Line,"March 3, 1917",The Bronx,Allerton,"1,000,896",362,
Burnside Avenue,4,IRT,Jerome Avenue Line,"June 2, 1917",The Bronx,Morris Heights,"3,113,514",161,
Bushwick Avenue–Aberdeen Street,L,BMT,Carnarsie Line,"July 14, 1928",Brooklyn,Bushwick,"600,188",401,
Canal Street,A C E,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Tribeca,"6,403,172",63,
Canal Street,N Q R W 6 J,BMT,Broadway Line,"September 4, 1917",Manhattan,Chinatown,"15,861,864",16,
,6,IRT,Lexington Avenue Line,"October 27, 1904",,,,,
,J,BMT,Nassau Street Line,"August 4, 1913",,,,,
Canal Street,1,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",Manhattan,SoHo,"1,984,827",237,
Canarsie–Rockaway Parkway†,L,BMT,Carnarsie Line,"July 28, 1906",Brooklyn,Canarsie,"3,302,691",151,
